Catégories;Nom du produit;Descriptif;Prix 
Pâtisseries de saison;MONTEBELLO;PISTACHE & FRAISE OU FRAMBOISE;5,40
Pâtisseries de saison;TARTE INFINIMENT VANILLE;VANILLES DU MEXIQUE, DE TAHITI & DE MADAGASCAR;6,23
Pâtisseries de saison;ISPAHAN;ROSE, FRAMBOISE & LETCHI;5,63
Pâtisseries de saison;ROSE DES SABLES;LAIT D'AMANDE, ROSE & PRALINÉ AMANDE;7,50
Pâtisseries de saison;FLEUR DE CASSIS;CHOCOLAT, CASSIS & POIVRE DE CASSIS;7,50
Pâtisseries de saison;TARTE CŒUR MIRAFLORÈS;BAIES ROSES DE MADAGASCAR, FRAISES & MANGUES FRAÎCHES;25,50
Pâtisseries de saison;CŒUR DÉSIRÉ;CITRON, FRAISE & BANANE;25,50
Pâtisseries au chocolat;CŒUR ORPHÉO;PRALINÉ NOISETTE, CHOCOLAT NOIR & AMANDES TORREFIÉES ;25,50
Pâtisseries au chocolat;CARRÉMENT CHOCOLAT;CHOCOLAT GRAND CRU ARAGUANI 72% DE CACAO;33,75
Pâtisseries au chocolat;PLAISIR SUCRÉ;CHOCOLAT AU LAIT, PRALINÉ FEUILETTÉ;5,48
Cakes;CAKE INFINIMENT VANILLE;AMANDES ET VANILLE DE MADAGASCAR, TAHITI Et MEXIQUE;16,50
Cakes;CAKE ISPAHAN;ROSE, FRAMBOISE & LETCHI;16,50
Cakes;CAKE INFINIMENT CITRON;ZESTES DE CITRON;16,50
Cakes;CAKE INFINIMENT PRALINÉ NOISETTE;NOISETTES DU PIÉMONT;16,50
Cakes;CAKE MOGADOR;CHOCOLAT AU LAIT & FRUIT DE LA PASSION;16,50
Macarons;SIGNATURE 7 MACARONS;ASSORTIMENT DE 7 MACARONS;14,48
Macarons;SIGNATURE 18 MACARONS;ASSORTIMENT DE 18 MACARONS;36,00
Macarons;SIGNATURE 24 MACARONS;ASSORTIMENT DE 24 MACARONS;48,08
Macarons;SIGNATURE 40 MACARONS;ASSORTIMENT DE 40 MACARONS;77,55
